City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
61,Ulaangom,49.98,92.07,63.27,49,51,2.08,MN,2020-08-22 14:21:47,light rain
62,Codrington,-38.27,141.97,47.21,82,11,19.62,AU,2020-08-22 14:21:47,light rain
63,Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,93,14,4.47,RU,2020-08-22 14:21:47,few clouds
64,Avarua,-21.21,-159.78,71.6,83,19,8.05,CK,2020-08-22 14:17:28,few clouds
65,Torbay,47.67,-52.73,63.0,77,75,12.75,CA,2020-08-22 14:21:47,broken clouds
66,Bangsund,64.4,11.39,62.01,70,100,4.0,NO,2020-08-22 14:21:48,moderate rain
67,College,64.86,-147.8,53.6,81,75,6.93,US,2020-08-22 14:21:48,broken clouds
68,Tianpeng,30.99,103.94,78.8,83,40,4.47,CN,2020-08-22 14:21:48,scattered clouds
69,Aksum,14.12,38.72,64.47,89,72,10.11,ET,2020-08-22 14:21:48,moderate rain
70,Kodiak,57.79,-152.41,53.6,76,1,6.93,US,2020-08-22 14:17:37,clear sky
71,Cloquet,46.72,-92.46,66.0,93,90,3.44,US,2020-08-22 14:21:48,mist
72,Provideniya,64.38,-173.3,48.6,94,100,6.49,RU,2020-08-22 14:21:48,light rain
73,Longyearbyen,78.22,15.64,46.4,64,40,5.82,SJ,2020-08-22 14:21:48,scattered clouds
74,Vila Velha,-20.33,-40.29,69.8,73,100,12.75,BR,2020-08-22 14:21:48,light rain
75,Thompson,55.74,-97.86,44.6,100,90,10.29,CA,2020-08-22 14:21:49,light intensity shower rain
76,Ust-Donetskiy,47.64,40.87,66.7,52,94,15.59,RU,2020-08-22 14:21:49,overcast clouds
77,Kazerun,29.62,51.65,97.29,9,0,10.16,IR,2020-08-22 14:21:49,clear sky
78,Guerrero Negro,27.98,-114.06,77.18,68,0,8.52,MX,2020-08-22 14:21:49,clear sky
79,Agar,23.7,76.02,75.27,94,100,20.31,IN,2020-08-22 14:21:49,light rain
80,Albany,42.6,-73.97,77.0,77,1,1.83,US,2020-08-22 14:21:49,clear sky
81,Zhuhai,22.28,113.57,87.01,79,86,8.05,CN,2020-08-22 14:21:01,overcast clouds
82,Okato,-39.2,173.88,48.99,90,100,8.01,NZ,2020-08-22 14:21:49,moderate rain
83,Beringovskiy,63.05,179.32,50.72,91,70,12.62,RU,2020-08-22 14:21:49,broken clouds
84,Nishihara,26.18,127.76,82.4,88,75,5.82,JP,2020-08-22 14:21:50,broken clouds
85,Nevers,46.92,3.33,77.0,50,89,12.75,FR,2020-08-22 14:21:50,overcast clouds
86,Tuatapere,-46.13,167.68,42.01,96,76,1.01,NZ,2020-08-22 14:21:50,broken clouds
87,Atuona,-9.8,-139.03,78.44,76,4,19.51,PF,2020-08-22 14:21:50,light rain
88,Port Alfred,-33.59,26.89,73.87,33,0,3.98,ZA,2020-08-22 14:17:34,clear sky
89,Nikolskoye,59.7,30.79,71.6,53,20,11.18,RU,2020-08-22 14:17:26,few clouds
90,Coihaique,-45.58,-72.07,48.2,66,75,5.82,CL,2020-08-22 14:21:01,broken clouds
91,San Cristobal,7.77,-72.22,77.0,78,75,10.29,VE,2020-08-22 14:20:47,broken clouds
92,Margate,51.38,1.39,72.0,57,56,7.0,GB,2020-08-22 14:21:50,broken clouds
93,Narsaq,60.92,-46.05,48.2,70,40,4.7,GL,2020-08-22 14:21:51,scattered clouds
94,Tete,-16.16,33.59,78.8,47,40,6.93,MZ,2020-08-22 14:21:51,scattered clouds
95,Kahului,20.89,-156.47,78.8,69,75,8.05,US,2020-08-22 14:21:51,light rain
96,Asau,46.43,26.4,82.0,51,9,5.41,RO,2020-08-22 14:18:04,clear sky
97,Katsuura,35.13,140.3,80.01,94,75,13.87,JP,2020-08-22 14:21:51,thunderstorm
98,Barrow,71.29,-156.79,39.2,93,90,14.99,US,2020-08-22 14:20:34,mist
99,Northam,51.03,-4.22,63.0,84,7,11.99,GB,2020-08-22 14:21:51,clear sky
100,Georgetown,5.41,100.34,80.6,83,20,5.82,MY,2020-08-22 14:21:51,thunderstorm
101,Sao Filipe,14.9,-24.5,78.75,76,72,1.99,CV,2020-08-22 14:21:51,broken clouds
102,Butaritari,3.07,172.79,82.54,67,95,5.59,KI,2020-08-22 14:21:52,overcast clouds
103,Shingu,33.73,135.98,75.99,89,99,2.8,JP,2020-08-22 14:21:52,light rain
104,Marsaxlokk,35.84,14.54,91.4,49,0,10.29,MT,2020-08-22 14:21:52,clear sky
