City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Northam,GB,63.0,clear sky,51.03,-4.22,Durrant House Hotel
100,Georgetown,MY,80.6,thunderstorm,5.41,100.34,Cititel Penang
101,Sao Filipe,CV,78.75,broken clouds,14.9,-24.5,Tortuga B&B
102,Butaritari,KI,82.54,overcast clouds,3.07,172.79,Isles Sunset Lodge
103,Shingu,JP,75.99,light rain,33.73,135.98,Shingu UI Hotel
105,Gboko,NG,83.3,few clouds,7.32,9.0,Bays Garden Hotel
106,Lorengau,PG,82.33,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
107,Thonon-Les-Bains,FR,81.0,scattered clouds,46.25,6.5,Hôtel Les Moineaux
108,Camrose,CA,57.0,light rain,53.02,-112.84,R & R Inn & Suites
109,Mahibadhoo,MV,84.83,clear sky,3.78,72.97,Omadhoo Inn
110,Gasa,PS,88.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
111,Saint-Joseph,RE,71.6,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
112,Sioux Lookout,CA,68.0,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
114,Cape Town,ZA,71.01,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
115,Arraial Do Cabo,BR,64.4,light rain,-22.97,-42.03,Pousada Porto Praia
116,Vardo,NO,66.2,overcast clouds,70.37,31.11,Vardø Hotel AS
117,Hilo,US,73.4,heavy intensity rain,19.73,-155.09,Hilo Hawaiian Hotel
119,Ponta Do Sol,PT,78.01,clear sky,32.67,-17.1,Hotel do Campo
120,Carnarvon,AU,68.0,broken clouds,-24.87,113.63,Hospitality Carnarvon
121,Faya,SA,82.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
122,Finschhafen,PG,79.02,few clouds,-6.6,147.87,Cossam Guest House
123,Pandan,PH,81.77,clear sky,14.05,124.17,Bonifacio Lodge
124,Namibe,AO,68.0,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
125,General Pico,AR,52.21,clear sky,-35.66,-63.76,Hotel Malargue
126,Saint Anthony,US,71.01,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
127,Stornoway,GB,59.0,broken clouds,58.21,-6.39,Caladh Inn
128,Tual,ID,79.09,clear sky,-5.67,132.75,Grand Vilia Hotel
129,Puerto Palomas,MX,78.8,clear sky,31.77,-107.62,Hotel San Carlos
130,Bud,US,75.0,clear sky,39.45,-86.18,Madsion Scouts Camp
131,Spring Hill,US,78.8,broken clouds,28.48,-82.53,Room of The world By traveline Plus
132,Tuy Hoa,VN,80.47,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
134,Salihorsk,BY,70.81,broken clouds,52.79,27.54,Apartment on Parkovoy 26
